service_id,date,exception_type
0000000052013061120140627,20140426,2
0000000052013061120140627,20140501,2
0000000052013061120140627,20140602,2
0000000052013061120140627,20140612,2
0000000052013061120140627,20140613,2
0000000052013061120140627,20140614,2
0000000052013061120140627,20140616,2
0000000052013061120140627,20140617,2
0000000052013061120140627,20140618,2
0000000052013061120140627,20140619,2
0000000052013061120140627,20140620,2
0000000052013061120140627,20140621,2
0000000052013061120140627,20140623,2
0000000052013061120140627,20140624,2
0000000052013061120140627,20140625,2
0000000052013061120140627,20140626,2
0000000052013061120140627,20140627,2
0000000052013091120140627,20140303,2
0000000052013091120140627,20140304,2
0000000052013091120140627,20140417,2
0000000052013091120140627,20140418,2
0000000052013091120140627,20140419,2
0000000052013091120140627,20140421,2
0000000052013091120140627,20140422,2
0000000052013091120140627,20140423,2
0000000052013091120140627,20140424,2
0000000052013091120140627,20140425,2
0000000052013091120140627,20140426,2
0000000052013091120140627,20140501,2
0000000052013091120140627,20140602,2
0000000052013091120140627,20140612,2
0000000052013091120140627,20140613,2
0000000052013091120140627,20140614,2
0000000052013091120140627,20140616,2
0000000052013091120140627,20140617,2
0000000052013091120140627,20140618,2
0000000052013091120140627,20140619,2
0000000052013091120140627,20140620,2
0000000052013091120140627,20140621,2
0000000052013091120140627,20140623,2
0000000052013091120140627,20140624,2
0000000052013091120140627,20140625,2
0000000052013091120140627,20140626,2
0000000052013091120140627,20140627,2
0000000052013091420140627,20140303,2
0000000052013091420140627,20140304,2
0000000052013091420140627,20140417,2
0000000052013091420140627,20140418,2
0000000052013091420140627,20140419,2
0000000052013091420140627,20140421,2
0000000052013091420140627,20140422,2
0000000052013091420140627,20140423,2
0000000052013091420140627,20140424,2
0000000052013091420140627,20140425,2
0000000052013091420140627,20140426,2
0000000052013091420140627,20140501,2
0000000052013091420140627,20140602,2
0000000052013091420140627,20140612,2
0000000052013091420140627,20140613,2
0000000052013091420140627,20140614,2
0000000052013091420140627,20140616,2
0000000052013091420140627,20140617,2
0000000052013091420140627,20140618,2
0000000052013091420140627,20140619,2
0000000052013091420140627,20140620,2
0000000052013091420140627,20140621,2
0000000052013091420140627,20140623,2
0000000052013091420140627,20140624,2
0000000052013091420140627,20140625,2
0000000052013091420140627,20140626,2
0000000052013091420140627,20140627,2
0000000052013091620140627,20140303,2
0000000052013091620140627,20140304,2
0000000052013091620140627,20140417,2
0000000052013091620140627,20140418,2
0000000052013091620140627,20140419,2
0000000052013091620140627,20140421,2
0000000052013091620140627,20140422,2
0000000052013091620140627,20140423,2
0000000052013091620140627,20140424,2
0000000052013091620140627,20140425,2
0000000052013091620140627,20140426,2
0000000052013091620140627,20140501,2
0000000052013091620140627,20140602,2
0000000052013091620140627,20140612,2
0000000052013091620140627,20140613,2
0000000052013091620140627,20140614,2
0000000052013091620140627,20140616,2
0000000052013091620140627,20140617,2
0000000052013091620140627,20140618,2
0000000052013091620140627,20140619,2
0000000052013091620140627,20140620,2
0000000052013091620140627,20140621,2
0000000052013091620140627,20140623,2
0000000052013091620140627,20140624,2
0000000052013091620140627,20140625,2
0000000052013091620140627,20140626,2
0000000052013091620140627,20140627,2
0000000052013092020140627,20140303,2
0000000052013092020140627,20140304,2
0000000052013092020140627,20140417,2
0000000052013092020140627,20140418,2
0000000052013092020140627,20140419,2
0000000052013092020140627,20140421,2
0000000052013092020140627,20140422,2
0000000052013092020140627,20140423,2
0000000052013092020140627,20140424,2
0000000052013092020140627,20140425,2
0000000052013092020140627,20140426,2
0000000052013092020140627,20140501,2
0000000052013092020140627,20140602,2
0000000052013092020140627,20140612,2
0000000052013092020140627,20140613,2
0000000052013092020140627,20140614,2
0000000052013092020140627,20140616,2
0000000052013092020140627,20140617,2
0000000052013092020140627,20140618,2
0000000052013092020140627,20140619,2
0000000052013092020140627,20140620,2
0000000052013092020140627,20140621,2
0000000052013092020140627,20140623,2
0000000052013092020140627,20140624,2
0000000052013092020140627,20140625,2
0000000052013092020140627,20140626,2
0000000052013092020140627,20140627,2
0000000052013092320140627,20140303,2
0000000052013092320140627,20140304,2
0000000052013092320140627,20140417,2
0000000052013092320140627,20140418,2
0000000052013092320140627,20140419,2
0000000052013092320140627,20140421,2
0000000052013092320140627,20140422,2
0000000052013092320140627,20140423,2
0000000052013092320140627,20140424,2
0000000052013092320140627,20140425,2
0000000052013092320140627,20140426,2
0000000052013092320140627,20140501,2
0000000052013092320140627,20140602,2
0000000052013092320140627,20140612,2
0000000052013092320140627,20140613,2
0000000052013092320140627,20140614,2
0000000052013092320140627,20140616,2
0000000052013092320140627,20140617,2
0000000052013092320140627,20140618,2
0000000052013092320140627,20140619,2
0000000052013092320140627,20140620,2
0000000052013092320140627,20140621,2
0000000052013092320140627,20140623,2
0000000052013092320140627,20140624,2
0000000052013092320140627,20140625,2
0000000052013092320140627,20140626,2
0000000052013092320140627,20140627,2
0000000052013100320140627,20140303,2
0000000052013100320140627,20140304,2
0000000052013100320140627,20140417,2
0000000052013100320140627,20140418,2
0000000052013100320140627,20140419,2
0000000052013100320140627,20140421,2
0000000052013100320140627,20140422,2
0000000052013100320140627,20140423,2
0000000052013100320140627,20140424,2
0000000052013100320140627,20140425,2
0000000052013100320140627,20140426,2
0000000052013100320140627,20140501,2
0000000052013100320140627,20140602,2
0000000052013100320140627,20140612,2
0000000052013100320140627,20140613,2
