route_id,service_id,trip_id,trip_headsign,direction_id
181,0000000052013091120140627,0001579902013091120140627,Vigile,0
120,0000000052013091120140627,0001579912013091120140627,Trento-Autostaz.,1
324,0000000022013091120140627,0001579922013091120140627,Male',1
167,0000000042013091120140627,0001579962013091120140627,Pieve di Bono-Loc. Creto,1
96,0000000052013091120140627,0001580032013091120140627,Bedollo,1
378,0000000052013091120140627,0001580042013091120140627,Cles-Autostazione,1
520,0000000022013091120140627,0001580462013091120140627,Trento-Autostaz.,1
95,0000000052013091120140627,0001580472013091120140627,Brusago,0
179,0000000022013091120140627,0001580532013091120140627,Palu' Del Fersina,0
196,0000000052013091120140627,0001580582013091120140627,Mezzomonte,1
102,0000000012013091120140627,0001580642013091120140627,Feltre-Staz. Fs,0
102,0000000012013091120140627,0001580652013091120140627,Arten,1
102,0000000022013091120140627,0001580662013091120140627,Arten,1
102,0000000302013091120140627,0001580672013091120140627,Arten,1
102,0000000022013091120140627,0001580692013091120140627,Arten,1
106,0000000062013091120140627,0001580702013091120140627,Caoria,0
227,0000000062013091120140627,0001580712013091120140627,Caoria,1
106,0000000062013091120140627,0001580722013091120140627,Ronco Chiesa,0
227,0000000052013091120140627,0001580742013091120140627,Caoria,1
86,0000000052013091120140627,0001580852013091120140627,Olle,0
86,0000000412013091120140627,0001580862013091120140627,Olle,0
86,0000000022013091120140627,0001580882013091120140627,Olle,0
86,0000000412013091120140627,0001580892013091120140627,Olle,0
171,0000000412013091120140627,0001580912013091120140627,Pregasina,0
175,0000000022013091120140627,0001581022013091120140627,Trento-Autostaz.,1
134,0000000022013091120140627,0001581042013091120140627,Trento-Autostaz.,1
71,0000000022013091120140627,0001581052013091120140627,Trento-Autostaz.,1
203,0000000022013091120140627,0001581082013091120140627,Rovereto-Aut.-V.Paoli,1
102,0000000022013091120140627,0001581112013091120140627,Feltre-Staz. Fs,0
102,0000000022013091120140627,0001581122013091120140627,Feltre-Staz. Fs,0
102,0000000012013091120140627,0001581142013091120140627,Arten,1
494,0000000042013091120140627,0001581152013091120140627,Montagnaga,1
138,0000000042013091120140627,0001581172013091120140627,Montagnaga,0
378,0000000052013091120140627,0001581252013091120140627,Cles-Autostazione,1
71,0000000022013091120140627,0001581292013091120140627,Trento-Autostaz.,1
98,0000000022013091120140627,0001581302013091120140627,Primolano-Alb.Giardino,0
188,0000000022013091120140627,0001581322013091120140627,Levico T.-P.Za Medici,0
188,0000000022013091120140627,0001581332013091120140627,Levico T.-P.Za Medici,0
188,0000000022013091120140627,0001581342013091120140627,Levico T.-P.Za Medici,0
188,0000000022013091120140627,0001581352013091120140627,Levico T.-P.Za Medici,0
179,0000000062013091120140627,0001581472013091120140627,Viarago,0
179,0000000022013091120140627,0001581482013091120140627,Battisti,0
203,0000000062013091120140627,0001581592013091120140627,Rovereto-Aut.-V.Paoli,1
375,0000000022013091120140627,0001581692013091120140627,Fondo-Via Garibaldi,1
324,0000000022013091120140627,0001581702013091120140627,Male',1
90,0000000052013091120140627,0001581732013091120140627,Loc. Lochere,0
153,0000000052013091120140627,0001581922013091120140627,Ponte Arche-Autost.,0
153,0000000062013091120140627,0001581932013091120140627,Ponte Arche-Autost.,0
155,0000000022013091120140627,0001581942013091120140627,Ponte Arche-Autost.,1
155,0000000062013091120140627,0001581952013091120140627,Ponte Arche-Autost.,1
155,0000000022013091120140627,0001581962013091120140627,Ponte Arche-Autost.,1
155,0000000062013091120140627,0001581982013091120140627,Bivedo,0
117,0000000022013091120140627,0001582012013091120140627,Varena,0
117,0000000022013091120140627,0001582022013091120140627,Varena,0
117,0000000052013091120140627,0001582032013091120140627,Varena,0
117,0000000022013091120140627,0001582052013091120140627,Daiano,0
117,0000000022013091120140627,0001582072013091120140627,Daiano,0
117,0000000022013091120140627,0001582082013091120140627,Cavalese-Autostaz.,1
117,0000000022013091120140627,0001582092013091120140627,Cavalese-Autostaz.,1
395,0000000022013091120140627,0001582132013091120140627,Toss,0
190,0000000042013091120140627,0001582202013091120140627,Rovereto-Aut.-V.Paoli,1
190,0000000022013091120140627,0001582212013091120140627,Rovereto-Aut.-V.Paoli,1
190,0000000042013091120140627,0001582222013091120140627,Rovereto-Aut.-V.Paoli,1
190,0000000022013091120140627,0001582232013091120140627,Rovereto-Aut.-V.Paoli,1
215,0000000052013091120140627,0001582282013091120140627,Rovereto-Aut.-V.Paoli,1
117,0000000052013091120140627,0001582372013091120140627,Cavalese-Autostaz.,1
90,0000000012013091120140627,0001582422013091120140627,Levico Terme-Autostazione,1
330,0000000052013091120140627,0001582612013091120140627,Male',1
188,0000000042013091120140627,0001582692013091120140627,Tenna,1
67,0000000022013091120140627,0001582752013091120140627,Carano-Municipio,0
117,0000000022013091120140627,0001582762013091120140627,Daiano,0
65,0000000022013091120140627,0001582772013091120140627,Masi di Cavalese,0
65,0000000022013091120140627,0001582782013091120140627,Cavalese-Autostaz.,1
196,0000000052013091120140627,0001582802013091120140627,Guardia di Folgaria,0
203,0000000062013091120140627,0001582842013091120140627,Rovereto-Aut.-V.Paoli,1
179,0000000052013091120140627,0001582852013091120140627,Battisti,0
179,0000000092013091120140627,0001582862013091120140627,Battisti,0
371,0000000052013091120140627,0001583192013091120140627,Tret Nord,0
371,0000000052013091120140627,0001583202013091120140627,Tret Nord,0
371,0000000052013091120140627,0001583212013091120140627,Fondo-Via Garibaldi,1
235,0000000052013091120140627,0001583372013091120140627,Nomesino,0
235,0000000062013091120140627,0001583392013091120140627,Nomesino,0
233,0000000042013091120140627,0001583482013091120140627,Brentonico,0
340,0000000822013091120140627,0001583602013091120140627,Rovere' D/Luna-Trentinalatte,0
340,0000000022013091120140627,0001583612013091120140627,Rovere' D/Luna-Trentinalatte,0
340,0000000052013091120140627,0001583652013091120140627,Rovere' D/Luna-Trentinalatte,0
340,0000000022013091120140627,0001583662013091120140627,Rovere' D/Luna-Trentinalatte,0
340,0000000022013091120140627,0001583682013091120140627,Mezzolombardo,1
324,0000000022013091120140627,0001583692013091120140627,Piazzola,0
324,0000000072013091120140627,0001583702013091120140627,Piazzola,0
324,0000000062013091120140627,0001583712013091120140627,S.Bernardo,0
343,0000000052013091120140627,0001583742013091120140627,Mezzocorona Ferrovia,1
343,0000000052013091120140627,0001583762013091120140627,Pineta di Faedo,0
375,0000000092013091120140627,0001583782013091120140627,Dermulo,1
375,0000000052013091120140627,0001583862013091120140627,Fondo-Via Garibaldi,0
375,0000000022013091120140627,0001583912013091120140627,Cles-Piazza Fiera,1
116,0000000302013091120140627,0001583992013091120140627,Imer,1
378,0000000062013091120140627,0001584162013091120140627,Cis,0
378,0000000052013091120140627,0001584172013091120140627,Cis,0
357,0000000062013091120140627,0001584202013091120140627,Cles-Autostazione,1
375,0000000022013091120140627,0001584222013091120140627,Cles-Autostazione,1
549,0000000052013091120140627,0001584282013091120140627,Nogare',0
549,0000000042013091120140627,0001584292013091120140627,Madrano-Alb.Madrano,0
549,0000000022013091120140627,0001584362013091120140627,Pergine V.-C.Intermodale,1
549,0000000022013091120140627,0001584372013091120140627,Pergine V.-C.Intermodale,1
549,0000000052013091120140627,0001584382013091120140627,Pergine V.-C.Intermodale,1
549,0000000042013091120140627,0001584392013091120140627,Pergine V.-C.Intermodale,1
549,0000000022013091120140627,0001584402013091120140627,Pergine V.-C.Intermodale,1
340,0000000092013091120140627,0001584422013091120140627,Rovere' D/Luna-Trentinalatte,0
340,0000000092013091120140627,0001584432013091120140627,Mezzocorona-Staz.Fs,1
554,0000000022013091120140627,0001584532013091120140627,Ischia di Pergine,0
554,0000000022013091120140627,0001584542013091120140627,Ischia di Pergine,0
554,0000000022013091120140627,0001584622013091120140627,Pergine V.-C.Intermodale,1
551,0000000022013091120140627,0001584792013091120140627,Canezza-Maso Dràzeri,0
551,0000000092013091120140627,0001584802013091120140627,Viarago-Via Delle Miniere,0
551,0000000062013091120140627,0001584812013091120140627,Viarago,0
551,0000000022013091120140627,0001584822013091120140627,Viarago-Via Delle Miniere,0
551,0000000052013091120140627,0001584832013091120140627,Viarago-Via Delle Miniere,0
551,0000000092013091120140627,0001584842013091120140627,Canezza-Bivio,0
551,0000000052013091120140627,0001584852013091120140627,Canezza-Bivio,0
551,0000000052013091120140627,0001584862013091120140627,Canezza-Bivio,0
551,0000000022013091120140627,0001584872013091120140627,Canezza-Bivio,0
551,0000000022013091120140627,0001584882013091120140627,Canezza-Bivio,0
556,0000000022013091120140627,0001584892013091120140627,Assizzi,0
562,0000000022013091120140627,0001584972013091120140627,Susa',0
562,0000000022013091120140627,0001584982013091120140627,Canale di Pergine Valsugana,0
562,0000000022013091120140627,0001584992013091120140627,Pergine V.-C.Intermodale,1
562,0000000022013091120140627,0001585012013091120140627,Pergine V.-C.Intermodale,1
549,0000000022013091120140627,0001585082013091120140627,Pergine V.-C.Intermodale,1
549,0000000042013091120140627,0001585092013091120140627,Pergine V.-C.Intermodale,1
138,0000000022013091120140627,0001585192013091120140627,Faida,0
138,0000000022013091120140627,0001585202013091120140627,Faida,0
138,0000000052013091120140627,0001585212013091120140627,Faida,0
138,0000000022013091120140627,0001585222013091120140627,Faida,0
138,0000000022013091120140627,0001585232013091120140627,Baselga P.-Municipio,1
138,0000000052013091120140627,0001585242013091120140627,Baselga P.-Municipio,1
138,0000000022013091120140627,0001585252013091120140627,Baselga P.-Municipio,1
138,0000000022013091120140627,0001585262013091120140627,Baselga P.-Municipio,1
309,0000000022013091120140627,0001585572013091120140627,Pergine V.-C.Intermodale,1
309,0000000022013091120140627,0001585582013091120140627,Pergine V.-C.Intermodale,1
562,0000000022013091120140627,0001585592013091120140627,S.Caterina di Pergine,0
562,0000000022013091120140627,0001585602013091120140627,Pergine V.-C.Intermodale,1
562,0000000052013091120140627,0001585622013091120140627,S.Cristoforo-Fs,1
175,0000000052013091120140627,0001585652013091120140627,Arco Svizzera,0
309,0000000022013091120140627,0001585802013091120140627,Falesina,0
309,0000000022013091120140627,0001585812013091120140627,Falesina,0
179,0000000092013091120140627,0001585822013091120140627,Pergine V.-C.Intermodale,1
179,0000000022013091120140627,0001585832013091120140627,Pergine V.-C.Intermodale,1
179,0000000022013091120140627,0001585842013091120140627,Pergine V.-C.Intermodale,1
565,0000000022013091120140627,0001585942013091120140627,Sopramonte,0
565,0000000022013091120140627,0001585952013091120140627,Sopramonte,0
565,0000000022013091120140627,0001585962013091120140627,Sopramonte,0
565,0000000022013091120140627,0001585972013091120140627,Sopramonte,0
565,0000000022013091120140627,0001585982013091120140627,Trento-Autostaz.,1
565,0000000022013091120140627,0001585992013091120140627,Trento-Autostaz.,1
565,0000000022013091120140627,0001586002013091120140627,Trento-Autostaz.,1
565,0000000022013091120140627,0001586012013091120140627,Trento-Autostaz.,1
132,0000000022013091120140627,0001586022013091120140627,Borgo V.-C.Intermodale,1
132,0000000022013091120140627,0001586032013091120140627,Borgo V.-C.Intermodale,1
132,0000000412013091120140627,0001586042013091120140627,Borgo V.-C.Intermodale,1
155,0000000022013091120140627,0001586112013091120140627,Bivedo,0
155,0000000022013091120140627,0001586122013091120140627,Bivedo,0
155,0000000052013091120140627,0001586172013091120140627,Ponte Arche-Autost.,1
155,0000000022013091120140627,0001586182013091120140627,Ponte Arche-Autost.,1
155,0000000052013091120140627,0001586192013091120140627,Ponte Arche-Autost.,1
69,0000000092013091120140627,0001586202013091120140627,Trento-Autostaz.,1
69,0000000052013091120140627,0001586232013091120140627,Trento-Autostaz.,1
69,0000000072013091120140627,0001586242013091120140627,Trento-Autostaz.,1
494,0000000022013091120140627,0001586262013091120140627,Baselga P.-Municipio,1
494,0000000022013091120140627,0001586272013091120140627,Baselga P.-Municipio,1
69,0000000012013091120140627,0001586292013091120140627,Baselga P.-Municipio,1
69,0000000022013091120140627,0001586302013091120140627,Baselga P.-Municipio,1
69,0000000042013091120140627,0001586312013091120140627,Baselga P.-Municipio,1
343,0000000022013091120140627,0001586332013091120140627,Mezzocorona Ferrovia,1
549,0000000052013091120140627,0001586342013091120140627,Canzolino,0
120,0000000022013091120140627,0001586382013091120140627,Trento-Autostaz.,1
