stop_id,stop_name,stop_desc,stop_lat,stop_lon
1,Trento-Autostaz.,,46.070785,11.118461
2,Trento-Solteri Bivio Ss.12,,46.084046,11.119732
3,Trento-Bren Center,,46.091322,11.115664
4,Lavis,,46.138361,11.109139
5,S.Michele A/Adige,,46.193684,11.132524
6,Salorno-Salurn,,46.240611,11.208106
7,Laghetti-Laag,,46.271948,11.238975
8,Egna-Neumarkt,,46.315973,11.272452
9,Cela-Aguai Bivio,,46.291364,11.418721
10,Castello di F.-Via Stazione,,46.282069,11.428969
11,Castello di Fiemme,,46.281206,11.434741
12,Cavalese-Bivio Carano,,46.287417,11.441664
14,Cavalese-P.Zza Partigiani,,46.291890,11.455508
15,Cavalese-Piazza G.Verdi,,46.290334,11.460692
17,Tesero-Giardino Dolomiti,,46.292465,11.484695
18,Tesero-Loc. Piera,,46.292007,11.492392
19,Tesero,,46.288877,11.510913
20,Panchià-Casa Cantoniera,,46.287144,11.531920
21,Panchia',,46.285513,11.541747
22,Ziano di Fiemme,,46.286705,11.560498
23,Ziano di Fiemme-Alla Roda,,46.288617,11.569941
24,Predazzo-Borgo Nuovo,,46.306538,11.598956
25,Predazzo-Autostaz.,,46.309520,11.604929
26,Predazzo-Distributore Agip,,46.317177,11.597112
27,Predazzo-Impianti Latemar,,46.328660,11.600173
28,Mezzavalle,,46.337415,11.609737
29,Forno,,46.347220,11.624669
30,Forno-Albergo Foresta,,46.355078,11.634437
31,Moena-Caserma Carabinieri,,46.369532,11.652359
32,Moena-Albergo Trentino,,46.373211,11.655352
33,Moena-Biglietteria,,46.374654,11.657920
34,Moena-Pezzè,,46.381214,11.665691
35,Soraga-Hotel Al Lago,,46.392382,11.666700
36,Soraga,,46.396748,11.669557
37,Vigo di Fassa,,46.421404,11.676292
38,S.Giovanni di Fassa,,46.421216,11.682022
39,Pozza di Fassa,,46.427261,11.682917
40,Pera di Fassa,,46.435925,11.690519
41,Pera di Fassa-Loc. Al Ponte,,46.441657,11.695427
42,Mazzin di Fassa,,46.457958,11.701369
43,Campestrin,,46.462994,11.715177
44,Fontanazzo,,46.469686,11.727819
45,Campitello di Fassa,,46.476504,11.740797
46,Canazei-Hotel Caminetto,,46.479175,11.759202
47,Canazei-Gries,,46.477899,11.763966
48,Canazei-Via Pareda,,46.476409,11.770873
49,Canazei-Funivia Belvedere,,46.474083,11.774376
50,Canazei-Difr.Hotel Faloria,,46.471558,11.777820
51,Alba di Canazei-Hotel Ariston,,46.466319,11.780898
52,Alba di Canazei,,46.461948,11.783003
53,Alba di Canazei-Fun.Ciampac,,46.459388,11.786093
55,Penia-Hotel Panarel,,46.457384,11.801813
56,Penia Alta,,46.458443,11.799745
59,Penia,,46.457708,11.791880
61,Alba di Canazei,,46.462156,11.782952
62,Canazei-Hotel Faloria,,46.471440,11.777940
63,Canazei-Funivia Belvedere,,46.474069,11.774728
64,Canazei-Gries,,46.478025,11.763972
65,Canazei-Hotel Caminetto,,46.479389,11.759638
67,Fontanazzo,,46.469607,11.726995
68,Pozza di Fassa,,46.427925,11.683281
69,Cavalese-Via Esterle,,46.293121,11.457264
70,Cavalese-Hotel Garden,,46.289434,11.447907
71,Laghetti-Laag,,46.272132,11.238775
72,Salorno-Salurn,,46.240218,11.207190
73,Lavis,,46.136956,11.109568
74,Trento-Stazione Fs,,46.072600,11.120056
77,Trento-Assoc. Artigiani,,46.082969,11.120310
80,Gardolo-Bivio Spini,,46.118886,11.106155
